id;code;date;details;status;payment_method;payment_date;payment_amount
1;충남 Focused;2023-09-08T00:45:57;면;CANCELLED;PAYPAL;2023-09-07T19:06:22;22604
2;calculating;2023-09-08T01:14:20;haptic 1080p;ISSUED;PAYPAL;2023-09-07T12:28:00;10489
3;national Frozen Berkshire;2023-09-08T01:29:10;Account Borders Home;PAID;CREDIT_CARD;2023-09-07T16:12:01;36325
4;monitor;2023-09-07T11:31:46;parse intuitive Division;CANCELLED;PAYPAL;2023-09-07T13:06:47;13687
5;synergy transmitting;2023-09-07T11:34:01;parse Gloves;ISSUED;PAYPAL;2023-09-07T20:10:39;92472
6;function;2023-09-07T16:27:29;Fresh;CANCELLED;CASH_ON_DELIVERY;2023-09-08T03:34:30;26944
7;대전;2023-09-08T02:53:52;RAM;ISSUED;PAYPAL;2023-09-08T07:55:44;32458
8;Analyst Agent;2023-09-08T06:48:34;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2023-09-08T03:50:16;79389
9;Salad;2023-09-07T12:57:16;Gorgeous;ISSUED;CREDIT_CARD;2023-09-07T21:43:40;62169
10;Pants Wooden Intuitive;2023-09-07T22:21:13;array 강원 충북;CANCELLED;CASH_ON_DELIVERY;2023-09-07T18:15:50;58737
