id;date;details;sent_date;format;user_id;product_id
1;2023-09-07T22:34:38;Pants;2023-09-07T11:54:07;EMAIL;3405;81146
2;2023-09-07T14:08:29;port;2023-09-07T14:33:52;SMS;86437;18722
3;2023-09-08T05:17:10;program next-generation;2023-09-07T23:42:17;EMAIL;97870;11395
4;2023-09-07T18:56:41;reboot payment;2023-09-07T17:34:18;SMS;67108;40188
5;2023-09-07T11:09:29;Sports invoice;2023-09-08T06:08:29;SMS;25250;97027
6;2023-09-08T01:14:59;Officer stable Intelligent;2023-09-07T22:32:08;PARCEL;64519;40687
7;2023-09-07T12:19:41;Salad;2023-09-07T16:39:31;SMS;49244;268
8;2023-09-07T21:02:10;parallelism deposit Berkshire;2023-09-07T11:42:37;EMAIL;18345;42331
9;2023-09-07T13:47:02;Usability Jewelery;2023-09-07T20:10:50;SMS;77847;4595
10;2023-09-08T02:33:32;parsing;2023-09-08T08:31:28;EMAIL;31675;99829
