id;placed_date;status;code;invoice_id;customer
1;2023-09-08T00:17:58;COMPLETED;Electronics;57858;calculate
2;2023-09-07T23:01:48;CANCELLED;one-to-one Corporate;74608;Steel
3;2023-09-07T14:29:15;CANCELLED;cross-platform Health;12251;real-time
4;2023-09-07T17:16:00;CANCELLED;Hat;10576;동 revolutionize
5;2023-09-08T00:19:29;CANCELLED;implement Implementation;23738;Bike
6;2023-09-07T15:30:50;CANCELLED;Industrial Checking Right-sized;52549;models
7;2023-09-07T15:42:58;PENDING;Implemented;30578;Home
8;2023-09-07T19:41:59;CANCELLED;Handmade Automotive Principal;60178;success Liaison Riel
9;2023-09-08T00:29:45;COMPLETED;National Program;95175;neural hacking
10;2023-09-08T00:22:45;COMPLETED;hack Shirt 동;57700;full-range back
